Acura	Integra	1	47900.0	47900.0	47900.0	[2001]
Acura	RDX	2766	4995.0	49525.0	33425.83	[2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021]
Acura	RL	53	1999.0	14995.0	6873.89	[1997,1999,2000,2002,2003,2005,2006,2007,2008,2009,2010,2011]
Acura	TLX	1958	11995.0	259881.0	30070.14	[2015,2016,2017,2018,2019,2020]
Aston Martin	V12 Vanquish	4	62995.0	92290.0	77798.0	[2003,2005,2006]
Audi	A4 Avant	41	1995.0	13995.0	8275.22	[2004,2005,2006,2007,2008,2009,2010,2011,2012]
Audi	S4 Avant	4	10990.0	16999.0	13244.75	[2004,2005,2008]
BMW	5 Series	2772	2100.0	87999.0	33911.57	[1986,1990,1993,1994,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020]
BMW	M5	102	9995.0	124145.0	60665.64	[2000,2001,2002,2003,2006,2007,2008,2013,2014,2015,2016,2018,2019,2020]
BMW	X4	199	19882.0	70370.0	38900.94	[2015,2016,2017,2018,2019,2020]
